ADFONIC,,,,,,OpenX Parent Category,,Publisher: Ad Attribute,
ID,NAME,PARENT_ID,CATEGORY_ORDER,IAB_ID,CHANNEL_ID,OpenX Parent Category,OpenX Parent Category ID,Open X Ad Attribute,OpenX Ad Attribute ID
276,National News,57,0,IAB12-2,4,News and Information,40002,,
57,News,,11,IAB12,4,News and Information,40002,,
291,Society,,13,IAB14,3,News and Information,40002,,
79,Weather,276,0,ADF-022,4,News and Information,40002,,
309,Weather,299,9,IAB15-10,3,News and Information,40002,,
373,Cell Phones,62,5,IAB19-6,4,Mobile Websites and Apps,20,,
50,Mobile Content,385,3,ADF-007,4,Mobile Websites and Apps,20,,
397,Portable,62,29,IAB19-28,4,Mobile Websites and Apps,20,,
370,Antivirus Software,62,2,IAB19-3,4,Internet,19,,
65,Blog,385,1,ADF-030,4,Internet,19,,
66,Communications,373,0,ADF-040,4,Internet,19,,
382,Email,62,14,IAB19-15,4,Internet,19,,
385,Internet Technology,62,17,IAB19-18,4,Internet,19,,
392,Net Conferencing,62,24,IAB19-23,4,Internet,19,,
393,Net for Beginners,62,25,IAB19-24,4,Internet,19,,
394,Network Security,62,26,IAB19-25,4,Internet,19,,
58,Portal,385,2,ADF-010,4,Internet,19,,
402,Web Clip Art,62,34,IAB19-33,4,Internet,19,,
403,Web Design/HTML,62,35,IAB19-34,4,Internet,19,,
67,Web Search,62,36,IAB19-35,4,Internet,19,,
435,Buying/Selling Homes,432,2,IAB21-3,3,Home & Garden,17,,
121,Construction,74,4,IAB3-5,4,Home & Garden,17,,
260,Home & Garden,,9,IAB10,3,Home & Garden,17,,
247,Home Recording,231,16,IAB9-17,2,Home & Garden,17,,
265,Home Repair,260,4,IAB10-5,3,Home & Garden,17,,
266,Home Theater,260,5,IAB10-6,3,Home & Garden,17,,
384,Home Video/DVD,62,16,IAB19-17,4,Home & Garden,17,,
268,Landscaping,260,7,IAB10-8,3,Home & Garden,17,,
269,Remodeling & Construction,260,8,IAB10-9,3,Home & Garden,17,,
72,Utilities,385,5,ADF-080,4,Home & Garden,17,,
232,Arts & Crafts,231,1,IAB9-2,2,Hobbies & Interests,15,,
300,Astrology,299,0,IAB15-1,3,Hobbies & Interests,15,,
83,Auctions,438,0,ADF-052,3,Hobbies & Interests,15,,
319,Baseball,61,1,IAB17-2,4,Hobbies & Interests,15,,
233,Beadwork,231,2,IAB9-3,2,Hobbies & Interests,15,,
362,Beauty,75,0,IAB18-1,3,Hobbies & Interests,15,,
320,Bicycling,61,2,IAB17-3,4,Hobbies & Interests,15,,
234,Birdwatching,231,3,IAB9-4,2,Hobbies & Interests,15,,
235,Board Games/Puzzles,231,4,IAB9-5,2,Hobbies & Interests,15,,
236,Candle & Soap Making,231,5,IAB9-6,2,Hobbies & Interests,15,,
323,Canoeing/Kayaking,61,5,IAB17-6,4,Hobbies & Interests,15,,
237,Card Games,231,6,IAB9-7,2,Hobbies & Interests,15,,
91,Celebrity Fan / Gossip,90,1,IAB1-2,1,Hobbies & Interests,15,,
324,Cheerleading,61,6,IAB17-7,4,Hobbies & Interests,15,,
238,Chess,231,7,IAB9-8,2,Hobbies & Interests,15,,
325,Climbing,61,7,IAB17-8,4,Hobbies & Interests,15,,
240,Collecting,231,9,IAB9-10,2,Hobbies & Interests,15,,
241,Comic Books,231,10,IAB9-11,2,Hobbies & Interests,15,,
275,Commentary,270,4,IAB11-5,4,Hobbies & Interests,15,,
436,Contests & Freebies,59,0,IAB22-1,3,Hobbies & Interests,15,,
437,Couponing,59,1,IAB22-2,3,Hobbies & Interests,15,,
326,Cricket,61,8,IAB17-9,4,Hobbies & Interests,15,,
242,Drawing/Sketching,231,11,IAB9-12,2,Hobbies & Interests,15,,
328,Fly Fishing,61,10,IAB17-11,4,Hobbies & Interests,15,,
329,Football,61,11,IAB17-12,4,Hobbies & Interests,15,,
122,Forestry,74,5,IAB3-6,4,Hobbies & Interests,15,,
243,Freelance Writing,231,12,IAB9-13,2,Hobbies & Interests,15,,
330,Freshwater Fishing,61,12,IAB17-13,4,Hobbies & Interests,15,,
331,Game & Fish,61,13,IAB17-14,4,Hobbies & Interests,15,,
264,Gardening,260,3,IAB10-4,3,Hobbies & Interests,15,,
244,Genealogy,231,13,IAB9-14,2,Hobbies & Interests,15,,
303,Geology,299,3,IAB15-4,3,Science,24,,
245,Getting Published,231,14,IAB9-15,2,Hobbies & Interests,15,,
68,Glamour,447,1,ADF-050,6,Hobbies & Interests,15,,
332,Golf,61,14,IAB17-15,4,Hobbies & Interests,15,,
246,Guitar,231,15,IAB9-16,2,Hobbies & Interests,15,,
231,Hobbies & Interest,,8,IAB9,2,Hobbies & Interests,15,,
333,Horse Racing,61,15,IAB17-16,4,Hobbies & Interests,15,,
334,Horses,61,16,IAB17-17,4,Hobbies & Interests,15,,
267,Interior Decorating,260,6,IAB10-7,3,Hobbies & Interests,15,,
249,Jewelry Making,231,18,IAB9-19,2,Hobbies & Interests,15,,
250,Magic & Illusion,231,19,IAB9-20,2,Hobbies & Interests,15,,
337,Martial Arts,61,19,IAB17-20,4,Hobbies & Interests,15,,
338,Mountain Biking,61,20,IAB17-21,4,Hobbies & Interests,15,,
93,Movies,90,4,IAB1-5,1,Hobbies & Interests,15,,
391,MP3/MIDI,62,23,IAB19-22,4,Hobbies & Interests,15,,
56,Music,90,5,IAB1-6,1,Hobbies & Interests,15,,
339,NASCAR Racing,61,21,IAB17-22,4,Hobbies & Interests,15,,
251,Needlework,231,20,IAB9-21,2,Hobbies & Interests,15,,
341,Paintball,61,23,IAB17-24,4,Hobbies & Interests,15,,
252,Painting,231,21,IAB9-22,2,Hobbies & Interests,15,,
304,Paranormal Phenomena,299,4,IAB15-5,3,Hobbies & Interests,15,,
77,Photography,231,22,IAB9-23,2,Hobbies & Interests,15,,
345,Rodeo,61,27,IAB17-28,4,Hobbies & Interests,15,,
254,Roleplaying Games,231,24,IAB9-25,2,Hobbies & Interests,15,,
347,Running/Jogging,61,29,IAB17-30,4,"Culture, Leisure, Sport",40005,,
348,Sailing,61,30,IAB17-31,4,Hobbies & Interests,15,,
349,Saltwater Fishing,61,31,IAB17-32,4,Hobbies & Interests,15,,
255,Sci-Fi & Fantasy,231,25,IAB9-26,2,Hobbies & Interests,15,,
256,Scrapbooking,231,26,IAB9-27,2,Hobbies & Interests,15,,
257,Screenwriting,231,27,IAB9-28,2,Hobbies & Interests,15,,
258,Stamps & Coins,231,28,IAB9-29,2,Hobbies & Interests,15,,
356,Table Tennis/Ping Pong,61,38,IAB17-39,4,Hobbies & Interests,15,,
54,Video & Computing Games,231,29,IAB9-30,2,Hobbies & Interests,15,,
115,Vintage Cars,48,21,IAB2-22,3,Hobbies & Interests,15,,
358,Volleyball,61,40,IAB17-41,4,Hobbies & Interests,15,,
116,Wagon,48,22,IAB2-23,3,Hobbies & Interests,15,,
359,Walking,61,41,IAB17-42,4,Hobbies & Interests,15,,
360,Waterski/Wakeboard,61,42,IAB17-43,4,Hobbies & Interests,15,,
259,Woodworking,231,30,IAB9-31,2,Hobbies & Interests,15,,
361,World Soccer,61,43,IAB17-44,4,Hobbies & Interests,15,,
167,A.D.D.,55,1,IAB7-2,3,Health & Fitness,14,,
168,AIDS/HIV,55,2,IAB7-3,3,Health & Fitness,14,Sexual Health,11
169,Allergies,55,3,IAB7-4,3,Health & Fitness,14,,
170,Alternative Medicine,55,4,IAB7-5,3,Health & Fitness,14,,
171,Arthritis,55,5,IAB7-6,3,Health & Fitness,14,,
172,Asthma,55,6,IAB7-7,3,Health & Fitness,14,,
173,Autism/PDD,55,7,IAB7-8,3,Health & Fitness,14,,
174,Bipolar Disorder,55,8,IAB7-9,3,Health & Fitness,14,,
321,Bodybuilding,61,3,IAB17-4,4,Health & Fitness,14,,
308,Botany,299,8,IAB15-9,3,Health & Fitness,14,,
322,Boxing,61,4,IAB17-5,4,Health & Fitness,14,,
175,Brain Tumor,55,9,IAB7-10,3,Health & Fitness,14,,
176,Cancer,55,10,IAB7-11,3,Health & Fitness,14,,
177,Cholesterol,55,11,IAB7-12,3,Health & Fitness,14,,
178,Chronic Fatigue,55,12,IAB7-13,3,Health & Fitness,14,,
180,Chronic Pain,55,14,IAB7-14,3,Health & Fitness,14,,
239,Cigars,231,8,IAB9-9,2,Health & Fitness,14,,
181,Cold & Flu,55,15,IAB7-15,3,Health & Fitness,14,,
182,Deafness,55,16,IAB7-16,3,Health & Fitness,14,,
183,Dental Care,55,17,IAB7-17,3,Health & Fitness,14,,
184,Depression,55,18,IAB7-18,3,Health & Fitness,14,,
185,Dermatology,55,19,IAB7-19,3,Health & Fitness,14,,
186,Diabetes,55,20,IAB7-20,3,Health & Fitness,14,,
201,Disorders,55,35,ADF-016,3,Health & Fitness,14,,
292,Divorce Support,291,1,IAB14-2,3,Health & Fitness,14,,
165,Eldercare,156,8,IAB6-9,3,Health & Fitness,14,,
187,Epilepsy,55,21,IAB7-21,3,Health & Fitness,14,,
166,Exercise,55,0,IAB7-1,3,Health & Fitness,14,,
188,GERD/Acid Reflux,55,22,IAB7-22,3,Health & Fitness,14,,
189,Headaches/Migraines,55,23,IAB7-23,3,Health & Fitness,14,,
55,Health & Fitness,,6,IAB7,3,Health & Fitness,14,,
224,Health/Low Fat Cooking,84,11,IAB8-12,3,Health & Fitness,14,,
190,Heart Disease,55,24,IAB7-24,3,Health & Fitness,14,,
191,Herbs for Health,55,25,IAB7-25,3,Health & Fitness,14,,
192,Holistic Healing,55,26,IAB7-26,3,Health & Fitness,14,,
193,IBS/Crohn's Disease,55,27,IAB7-27,3,Health & Fitness,14,,
194,Incest/Abuse Support,55,28,IAB7-28,3,Health & Fitness,14,Sexual Health,11
195,Incontinence,55,29,IAB7-29,3,Health & Fitness,14,,
